,Property,Expected Landings,ROI Rent,ROI 1 House,ROI 2 Houses,ROI 3 Houses,ROI 4 Houses,ROI Hotel,Mean Z-Score
New York,1.7577575673609083,1.7577575673609067,0.9232401561230534,1.2798518905288068,1.0854273915709531,1.5950738379317877,1.8755556651650651,1.87777749806796,1.4394877398979375
Boardwalk,-0.025213167381440058,-0.025213167381443056,2.1866214223967053,1.4549197138964778,1.7072179305650614,1.3573156372322368,1.0256410855806044,0.7077019974709305,1.406569631190336
Illinois,2.1548359642739787,2.1548359642739756,1.4091560277667659,1.2798518905288068,1.3367895243558054,1.2310065931106005,0.9052991982058135,0.6062503644711881,1.1280589330731632
Tennessee,1.1923090568964299,1.1923090568964276,0.5345074588080836,0.6671145087419585,0.5959327119372935,0.9932483924110496,1.296410332173884,1.3705193330692478,0.9096221228569195
St. James,0.8222941037953116,0.8222941037953089,0.3401411101505986,0.4920466853742876,0.42394809476871037,0.7777800230270815,1.0557265574243022,1.1337988560698489,0.7039068878024715
Atlantic,0.23322053787203875,0.2332205378720364,0.3401411101505986,0.5212246559355661,0.635621469745428,0.3542732280310065,-0.03487179690974047,-0.2662336793265969,0.25835916460437697
Ventnor,0.22212896253927142,0.2221289625392693,0.3401411101505986,0.5212246559355661,0.635621469745428,0.3542732280310065,-0.03487179690974047,-0.27299712152657973,0.2572319242377132
Marvin Gardens,-0.17971881176688898,-0.1797188117668915,0.24295793582185618,0.46286871481300906,0.6488510556814729,0.2799737903123969,-0.1401709483626825,-0.381212196726305,0.1855447252566246
Kentucky,0.7469823072858215,0.7469823072858188,0.5345074588080836,0.3461568325678951,0.013830930751319827,0.27254384654053593,-0.0423931648706649,-0.23241646832668275,0.14870490591174781
St. Charles,0.8259543236551249,0.8259543236551233,0.04859158716437124,-0.2665805492189532,-0.277219959841667,0.2131042963656482,0.42393164870664984,0.18691694807225268,0.05479066187471696
Indiana,0.4080237651164519,0.40802376511644906,0.3401411101505986,0.17108900920022418,-0.13169451454517359,0.09422519601587276,-0.2304273638937757,-0.40150252332625347,-0.026361514399751183
Connecticut,-0.6026405792053073,-0.6026405792053103,-0.826056981794311,-0.4416483725866241,-0.7402554676032369,-0.18068272354298295,0.5668376399642141,1.0188203386701407,-0.10049759448213336
Virginia,-0.3204709027397064,-0.32047090273970896,-0.3401411101505986,-0.38329243146406716,-0.3036791317137567,-0.12124317336809522,0.12307693026967259,0.27484169667202946,-0.12507286995913594
Pacific,0.08037862978650492,0.08037862978650215,0.43732428447934113,0.28780089144533816,0.3181114072803515,-0.26984204880531454,-0.6967521774710904,-0.9561047837248455,-0.1465770711327033
Pennsylvania,-0.5194537642095524,-0.5194537642095551,0.04859158716437124,0.4336907442517306,0.49009602444893463,-0.22526238617414873,-0.7117949133929393,-0.935814457124897,-0.1500822334711581
North Carolina,-0.1667416686275512,-0.1667416686275534,0.24295793582185618,0.17108900920022418,0.18581554791990296,-0.39615109292695094,-0.8246154328068058,-1.0643198589245708,-0.2808706486193907
Vermont,-0.49305581491756606,-0.4930558149175684,-1.1176065047805384,-0.9376738721283584,-0.7270258816671921,-0.24012227371787065,0.34871796909740554,0.9173687056703983,-0.2927236429210259
Oriental,-0.6878238777609604,-0.687823877760963,-1.214789679109281,-0.9960298132509154,-0.8064033972834612,-0.3441414865239242,0.22085471376169022,0.7820998616707416,-0.393068300122525
Park Place,-1.5946710769680175,-1.5946710769680197,-0.04859158716437124,0.22944495032278114,0.14612679011176838,-0.5744697434516141,-1.0953846794000854,-1.3010403359239697,-0.4406524342509151
States,-0.6521090051894496,-0.6521090051894526,-0.631690633136826,-0.8793179310058015,-0.8593217410276406,-0.5447499683641702,-0.4485470347605842,-0.6044057893257384,-0.6613388496034601
Baltic,-1.450813344902025,-1.4508133449020277,-1.214789679109281,-1.5504112539152068,-1.5869489675101076,-1.5329324900216785,-0.6591453376664683,-0.1512551619268888,-1.1159138150249386
Mediterranean,-1.7511732049133644,-1.7511732049133675,-2.5753541197116756,-2.8634199291727387,-2.7908412876901894,-3.0932206821124812,-2.9230770939047224,-2.3087932237214113,-2.75911772271887
