New York,78485,7.8485,62,209,431,941,1046,1121,2,1,1,1,1,1,1.17,1,0.779,1.180,0.978,1.530,1.824,1.767,1.343,1
Tennessee,79452,7.9452,61,198,418,910,1027,1109,3,2,6,2,2,2,2.83,2,0.696,0.890,0.821,1.314,1.689,1.693,1.184,2
St. James,75947,7.5947,59,189,399,870,982,1061,11,7,9,3,3,3,6.00,4,0.529,0.653,0.591,1.035,1.370,1.397,0.929,3
Boardwalk,56902,5.6902,71,189,426,796,806,812,1,7,3,7,11,11,6.67,5,1.528,0.653,0.918,0.519,0.123,-0.136,0.601,4
Atlantic,72832,7.2832,61,195,429,820,825,829,3,3,2,4,8,9,4.83,3,0.696,0.811,0.954,0.686,0.258,-0.032,0.562,5
Ventnor,71308,7.1308,60,191,420,803,808,811,7,4,5,5,9,12,7.00,6,0.613,0.705,0.845,0.568,0.137,-0.143,0.454,6
Marvin Gardens,68692,6.8692,58,191,426,799,800,800,12,4,3,6,12,14,8.50,7,0.446,0.705,0.918,0.540,0.081,-0.210,0.413,7
Illinois,72687,7.2687,60,186,403,790,800,807,7,9,8,9,12,13,9.67,9,0.613,0.574,0.640,0.477,0.081,-0.167,0.369,8
Kentucky,75764,7.5764,61,184,364,791,808,820,3,10,13,8,9,10,8.83,8,0.696,0.521,0.168,0.484,0.137,-0.087,0.320,9
Indiana,73551,7.3551,60,178,353,768,784,796,7,14,14,10,14,15,12.33,14,0.613,0.363,0.035,0.324,-0.033,-0.235,0.178,10
Pennsylvania,66157,6.6157,57,190,413,719,708,701,13,6,7,12,16,18,12.00,12,0.363,0.679,0.761,-0.018,-0.571,-0.820,0.066,11
Pacific,70629,7.0629,61,183,393,706,706,692,3,11,10,13,18,19,12.33,14,0.696,0.495,0.519,-0.108,-0.586,-0.875,0.023,12
Virginia,66619,6.6619,49,153,333,724,832,908,15,15,15,11,7,7,11.67,10,-0.303,-0.296,-0.207,0.017,0.307,0.455,-0.004,13
Connecticut,63498,6.3498,42,149,288,705,892,1029,18,16,16,14,4,4,12.00,12,-0.885,-0.401,-0.751,-0.115,0.733,1.200,-0.037,14
North Carolina,69555,6.9555,60,180,387,695,695,682,7,13,11,15,20,20,14.33,16,0.613,0.416,0.446,-0.185,-0.664,-0.937,-0.052,15
Park Place,57396,5.7396,57,182,382,664,648,637,13,12,12,18,21,21,16.17,18,0.363,0.468,0.386,-0.401,-0.997,-1.214,-0.232,16
Vermont,64217,6.4217,38,128,288,693,856,1009,19,18,16,16,5,5,13.17,15,-1.218,-0.954,-0.751,-0.199,0.477,1.077,-0.261,17
Oriental,62571,6.2571,37,125,281,675,834,983,21,20,18,17,6,6,14.67,17,-1.301,-1.033,-0.835,-0.324,0.321,0.917,-0.376,18
States,63552,6.3552,45,132,280,649,735,744,16,17,19,19,15,16,17.00,19,-0.635,-0.849,-0.848,-0.506,-0.380,-0.555,-0.629,19
St. Charles,61036,6.1036,43,127,269,624,706,715,17,19,20,20,18,17,18.50,21,-0.802,-0.981,-0.981,-0.680,-0.586,-0.734,-0.794,20
Baltic,57553,5.7553,38,104,215,493,708,835,19,21,21,21,16,8,17.67,20,-1.218,-1.587,-1.634,-1.593,-0.571,0.005,-1.100,21
Mediterranean,55909,5.5909,18,50,104,239,344,450,22,22,22,22,22,22,22.00,22,-2.881,-3.009,-2.976,-3.364,-3.151,-2.366,-2.958,22
,0,1,2,3,4,5,6,7,,,,,,,,,,,,,,,,
Go,56224,5.6224,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Community Chance 1,56830,5.683,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Income Tax,58972,5.8972,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Reading RR,60080,6.008,150,0,0,0,0,0,,,,,,,,,,,,,,,,
Chance 1,64521,6.4521,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Jail,61876,6.1876,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Eletric Company,62820,6.282,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Pennsylvania RR,71398,7.1398,178,0,0,0,0,0,,,,,,,,,,,,,,,,
Community Chest 2,80029,8.0029,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Free Parking,77798,7.7798,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Chance 2,74630,7.463,0,0,0,0,0,0,,,,,,,,,,,,,,,,
B & O RR,72525,7.2525,181,0,0,0,0,0,,,,,,,,,,,,,,,,
Water Works,70028,7.0028,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Go to Jail,70069,7.0069,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Community Chest 3,68083,6.8083,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Short Line RR,63849,6.3849,159,0,0,0,0,0,,,,,,,,,,,,,,,,
Chance 3,61002,6.1002,0,0,0,0,0,0,,,,,,,,,,,,,,,,
Luxury Tax,57483,5.7483,0,0,0,0,0,0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Eletric Company,62820,6.282,117,147,,,,,,,,,,,,,,,,,,,,
Water Works,70028,7.0028,131,163,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Reading RR,60080,6.008,150,,,,,,,,,,,,,,,,,,,,,
Pennsylvania RR,71398,7.1398,178,,,,,,,,,,,,,,,,,,,,,
B & O RR,72525,7.2525,181,,,,,,,,,,,,,,,,,,,,,
Short Line RR,63849,6.3849,159,,,,,,,,,,,,,,,,,,,,,
